lei,lender_name,source_year,source,status
2549009IIR21WKPEE762,AlaTrust Credit Union,2023,Official HMDA Data Browser filers API,matched
2549009JMGPU64G0O296,Bank of Millbrook,2025,Official HMDA Data Browser filers API,matched
2549009M5QY5LPV18B47,GREAT BASIN FEDERAL CREDIT UNION,2025,Official HMDA Data Browser filers API,matched
2549009PABKV8ZBDH619,CENTRAL CREDIT UNION OF ILLINOIS,2025,Official HMDA Data Browser filers API,matched
2549009PBYH62M6NZK12,Peoples State Bank of Plainview,2023,Official HMDA Data Browser filers API,matched
2549009PZCHF8GGHET49,Santa Barbara Teachers Federal Credit Union,2025,Official HMDA Data Browser filers API,matched
2549009RNMXHS9AICA61,Kaiperm Federal Credit Union,2024,Official HMDA Data Browser filers API,matched
2549009SLV9L2AAN3089,Amalgamated Bank of Chicago,2024,Official HMDA Data Browser filers API,matched
2549009UITWIC4FV7F43,Residential Acceptance Corporation,2024,Official HMDA Data Browser filers API,matched
2549009X2AG1P20YAJ63,Axos Bank,2025,Official HMDA Data Browser filers API,matched
254900A1LV2U6NM10498,Archwest Funding,2025,Official HMDA Data Browser filers API,matched
254900A1UQKL3B7FJW54,Algonquin State Bank,2024,Official HMDA Data Browser filers API,matched
254900A9B6ZESX14S984,Bank of Yates City,2023,Official HMDA Data Browser filers API,matched
254900A9IPKYRVXEJ156,PRESTON HOME LOANS INC,2025,Official HMDA Data Browser filers API,matched
254900AASWOQ6SVWCG44,Tulsa Federal Credit Union,2025,Official HMDA Data Browser filers API,matched
254900ABIIEL07U0EA82,,,Official HMDA Data Browser filers API,unmatched
254900ACU16O36WZP625,"212 LOANS, LLC.",2025,Official HMDA Data Browser filers API,matched
254900ACUWEGW702BR80,"FM Home Loans, LLC",2025,Official HMDA Data Browser filers API,matched
254900AD895KKZTSFT42,"MORTGAGE ASSURANCE, INC.",2025,Official HMDA Data Browser filers API,matched
254900AECSSNLT5FBU41,The Union State Bank of Everest,2025,Official HMDA Data Browser filers API,matched
254900AG9OLNQOYN9650,"Great Midwest Bank, S.S.B.",2025,Official HMDA Data Browser filers API,matched
254900AH8L5ZM1JZET07,,,Official HMDA Data Browser filers API,unmatched
254900AHEC0ZH6MGNX19,"RockPointBank, National Association",2025,Official HMDA Data Browser filers API,matched
254900AHLSHUJOTJG402,COLONY BANK,2025,Official HMDA Data Browser filers API,matched
254900AJB66305WKCT53,American Partners Federal Credit Union,2025,Official HMDA Data Browser filers API,matched
254900APUOKMIQ9Z9027,JOHNS HOPKINS FEDERAL CREDIT UNION,2025,Official HMDA Data Browser filers API,matched
254900ARL5FDX2OOH702,"SUPERIOR CREDIT UNION, INC.",2025,Official HMDA Data Browser filers API,matched
254900ARLAZ571P0Z136,Industry State Bank,2025,Official HMDA Data Browser filers API,matched
254900AU2FARCMPNA566,Bank of Holland,2025,Official HMDA Data Browser filers API,matched
254900AVP2JVTYYT3V92,"THE PEOPLES BANK, BILOXI, MISSISSIPPI",2023,Official HMDA Data Browser filers API,matched
254900AX110CHF6FVV28,"TOWN SQUARE MORTGAGE & INVESTMENTS, LLC",2024,Official HMDA Data Browser filers API,matched
254900AX2RRO2WMRP742,VERMONT FEDERAL CREDIT UNION,2023,Official HMDA Data Browser filers API,matched
254900B0P7ZWM2SQVJ36,,,Official HMDA Data Browser filers API,unmatched
254900B5PW4JPZAQI721,Woodford State Bank,2025,Official HMDA Data Browser filers API,matched
254900B5Z0UM2W57TK83,Citizens First Bank,2024,Official HMDA Data Browser filers API,matched
254900B631B05UVLUA59,Concordia Bank & Trust Company,2024,Official HMDA Data Browser filers API,matched
254900B71NF607TXAW72,Bodcaw Bank,2025,Official HMDA Data Browser filers API,matched
254900B7OQXWTD0I4K81,The First National Bank of Hughes Springs,2025,Official HMDA Data Browser filers API,matched
254900B9B6TYYGLOXT47,Think Mutual Bank,2025,Official HMDA Data Browser filers API,matched
254900BAR7I9CB7YO393,The First State Bank,2025,Official HMDA Data Browser filers API,matched
254900BBEPZS8MDE1S61,F&A Federal Credit Union,2025,Official HMDA Data Browser filers API,matched
254900BBWJ82FQDQ6823,ABL RPC Residential Credit Acquisition LLC,2025,Official HMDA Data Browser filers API,matched
254900BD5NFQPLWIEE89,UNITED POLES FEDERAL CREDIT UNION,2025,Official HMDA Data Browser filers API,matched
254900BDGU9FU91PQA51,The Union Bank Company,2025,Official HMDA Data Browser filers API,matched
254900BKU8W7ACVJRW27,Home Federal Savings and Loan Association of Niles,2023,Official HMDA Data Browser filers API,matched
254900BLPLW0LXHKFX20,Jersey State Bank,2025,Official HMDA Data Browser filers API,matched
254900BM3N9MMKAA9U54,Lamar National Bank,2025,Official HMDA Data Browser filers API,matched
254900BMQSLV9Y2QJR87,Commercial Bank of California,2023,Official HMDA Data Browser filers API,matched
254900BMXWPEHXG4LF21,"SmartFi Home Loans, LLC",2025,Official HMDA Data Browser filers API,matched
254900BQVRDMH5K9QS04,Frankenmuth Credit Union,2024,Official HMDA Data Browser filers API,matched
254900BX43CTU32Z6G15,Lindell Bank & Trust Company,2025,Official HMDA Data Browser filers API,matched
254900C19X1M3IN6AM89,First State Bank of Burnet,2023,Official HMDA Data Browser filers API,matched
254900C2QXQ435D8TY78,Queensborough National Bank & Trust Company,2025,Official HMDA Data Browser filers API,matched
254900C303DGB8I7GG88,LA Financial Federal Credit Union,2025,Official HMDA Data Browser filers API,matched
254900C44LTMSEGQ5K05,Island Federal Credit Union,2025,Official HMDA Data Browser filers API,matched
254900C4L5I47E388980,PEOPLES SAVINGS BANK,2024,Official HMDA Data Browser filers API,matched
254900C7T2ET9EM0RK88,,,Official HMDA Data Browser filers API,unmatched
254900CBU2F2TON68T25,First National Bank of East Texas,2025,Official HMDA Data Browser filers API,matched
254900CHU7PX7ZS6RI74,State Bank,2025,Official HMDA Data Browser filers API,matched
254900CIEUZUO7CHPG88,COVANTAGE CREDIT UNION,2025,Official HMDA Data Browser filers API,matched
254900CLULPZ13KI0S29,NORTHEASTERN OPERATING ENGINEERS FEDERAL CREDIT UNION,2023,Official HMDA Data Browser filers API,matched
254900CN1DD55MJDFH69,University of Wisconsin Credit Union,2025,Official HMDA Data Browser filers API,matched
254900CNZPI5WN45KW48,First Financial Bank,2025,Official HMDA Data Browser filers API,matched
254900CRPFBFJUTD8P12,,,Official HMDA Data Browser filers API,unmatched
254900CTT87ZKAUTIJ37,,,Official HMDA Data Browser filers API,unmatched
254900CUL2SYJXAEFW91,Bank of the Southwest,2023,Official HMDA Data Browser filers API,matched
254900CUWSNZ9IXV1Z27,"NEW MILLENNIUM BANK, INC",2025,Official HMDA Data Browser filers API,matched
254900CX4A85W20A2X77,Azuza LLC dba Z Loans Funding,2025,Official HMDA Data Browser filers API,matched
254900D3ZSLR3VYI9A24,The First National Bank of Shiner,2025,Official HMDA Data Browser filers API,matched
254900D4M439MIWMBX82,Cooperative Teachers Credit Union,2025,Official HMDA Data Browser filers API,matched
254900D8UVDBN0LNLV64,Platinum Home Mortgage Corporation,2023,Official HMDA Data Browser filers API,matched
254900D8X5TTTSY8Z707,"ARIXA SECURED INCOME FUND, LLC",2025,Official HMDA Data Browser filers API,matched
254900DGJQT6H4M24F92,One Bank of Tennessee,2025,Official HMDA Data Browser filers API,matched
254900DJ8WC0BQHYR275,South Story Bank & Trust,2025,Official HMDA Data Browser filers API,matched
254900DNLSAVSRPDRK61,"Carthage Savings and Loan, National Association",2025,Official HMDA Data Browser filers API,matched
254900DNPJINSUKFZ002,NOTRE DAME FEDERAL CREDIT UNION CORPORATION,2025,Official HMDA Data Browser filers API,matched
254900DON8SDKGYIL122,"Intercredit Bank, National Association",2025,Official HMDA Data Browser filers API,matched
254900DP3BW5KXGW1D65,Security State Bank of Hibbing,2023,Official HMDA Data Browser filers API,matched
